Run_ID,Exp,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt
na,prep,na,23,na,na,back,na,0.107,320,89,88.75,26.13805088,4,0.25,350,0.1,0.392,1.919,0.186,2.12,100.0,2.19
na,prep,na,23,na,na,front,na,0.118,320,88.5,88.25,28.67286735,1,0.25,350,0.1,0.317,1.646,1.069,3.164,96.7,1.813
na,prep,na,23,na,na,back,na,0.118,320,88.5,88.25,28.67286735,2,0.25,350,0.1,0.315,1.45,0.638,2.378,75.4,1.765
na,prep,na,23,na,na,front,na,0.118,320,88.5,88.25,28.67286735,3,0.25,350,0.1,0.368,1.734,0.801,2.682,83.7,1.959
na,prep,na,23,na,na,back,na,0.118,320,88.5,88.25,28.67286735,4,0.25,350,0.1,0.409,1.672,0.803,2.357,83.9,2.037
na,prep,na,23,na,na,front,na,0.118,320,88,87.75,31.19332226,1,0.25,350,0.1,0.403,2.147,0.623,2.542,44.7,2.288
na,prep,na,23,na,na,back,na,0.118,320,88,87.75,31.19332226,2,0.25,350,0.1,0.396,2.44,-0.327,3.339,53.9,2.562
na,prep,na,23,na,na,front,na,0.118,320,88,87.75,31.19332226,3,0.25,350,0.1,0.544,2.612,0.519,2.21,93.7,2.715
na,prep,na,23,na,na,back,na,0.118,320,88,87.75,31.19332226,4,0.25,350,0.1,0.429,2.09,0.502,2.214,47.5,2.25
na,prep,na,23,na,na,front,na,0.118,320,87.5,87.25,33.6994156,1,0.25,350,0.1,0.39,1.934,0.509,2.369,100.6,2.165
na,prep,na,23,na,na,back,na,0.118,320,87.5,87.25,33.6994156,2,0.25,350,0.1,0.412,2.057,0.093,2.023,47.4,2.275
na,prep,na,23,na,na,front,na,0.118,320,87.5,87.25,33.6994156,3,0.25,350,0.1,0.447,1.791,0.263,1.825,100.7,1.969
na,prep,na,23,na,na,back,na,0.118,320,87.5,87.25,33.6994156,4,0.25,350,0.1,0.398,2.259,0.111,2.415,48.0,2.479
na,prep,na,23,na,na,front,na,0.144,320,87,86.75,36.19114737,1,0.25,350,0.1,0.472,1.759,0.322,1.624,100.2,2.022
na,prep,na,23,na,na,back,na,0.144,320,87,86.75,36.19114737,2,0.25,350,0.1,0.324,2.012,0.086,2.867,83.5,2.147
na,prep,na,23,na,na,front,na,0.144,320,87,86.75,36.19114737,3,0.25,350,0.1,0.446,1.774,0.427,1.822,100.4,1.868
na,prep,na,23,na,na,back,na,0.144,320,87,86.75,36.19114737,4,0.25,350,0.1,0.392,2.159,0.33,2.442,83.0,2.451
